table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
_SPML_ModuleInfo	JboxBuildPart	231	231	508	0	0	1	1
_SPML_ModuleInfo	JboxBuildDT	61	61	8	23	3	1	0
_SPML_ModuleInfo	FlashtestClassifiedDT	61	61	8	23	3	1	0
_SPML_ModuleInfo	FinalModulePartNo	231	231	508	0	0	1	1
_SPML_ModuleInfo	FinalModulePartDesc	231	231	508	0	0	1	1
_SPML_ModuleInfo	ActualPower	62	62	8	53	0	1	0
_SPML_ModuleInfo	ActualVocMod	62	62	8	53	0	1	0
_SPML_ModuleInfo	ActualFF	62	62	8	53	0	1	0
_SPML_ModuleInfo	PackedDT	61	61	8	23	3	1	0
_SPML_ModuleInfo	InventoryState	231	231	508	0	0	1	1
_SPML_ModuleInfo	JboxBuildMachine	231	231	508	0	0	1	1
_SPML_ModuleInfo	ActualIsc	62	62	8	53	0	1	0
_SPML_ModuleInfo	FlashtestBuildMachine	231	231	508	0	0	1	1
_SPML_ModuleInfo	Komax1	231	231	508	0	0	1	1
_SPML_ModuleInfo	Komax2	231	231	508	0	0	1	1
_SPML_ModuleInfo	Komax3	231	231	508	0	0	1	1
_SPML_ModuleInfo	GlassID	56	56	4	10	0	1	0
_SPML_ModuleInfo	CellType	231	231	100	0	0	1	1
_SPML_ModuleInfo	StringerOperator	231	231	100	0	0	1	1
_SPML_ModuleInfo	CircuitOperator1	231	231	100	0	0	1	1
_SPML_ModuleInfo	CircuitOperator2	231	231	100	0	0	1	1
_SPML_ModuleInfo	TrimChangeReason	231	231	4000	0	0	1	1
_SPML_ModuleInfo	PowerChartGenerated	48	48	1	3	0	0	0
_SPML_ModuleInfo	LaminateWoId	56	56	4	10	0	1	0
_SPML_ModuleInfo	ModuleWoId	56	56	4	10	0	1	0
_SPML_ModuleInfo	VisualStateId	52	52	2	5	0	1	0
_SPML_ModuleInfo	RfInvStateId	52	52	2	5	0	1	0
_SPML_ModuleInfo	ElTestDate	61	61	8	23	3	1	0
_SPML_ModuleInfo	ElBuildMachine	231	231	508	0	0	1	1
_SPML_ModuleInfo	ActualVmpMod	62	62	8	53	0	1	0
_SPML_ModuleInfo	ActualImpMod	62	62	8	53	0	1	0
