db,table,column,type,length,precision,scale,nullable,padded
dbo,_SPML_ModuleInfo,LaminationBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,LaminationBuildDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,ModuleID,int,4,10,0,1,0
dbo,_SPML_ModuleInfo,ModuleCreatedDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,ModuleOrderNo,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,IntendedModulePartNo,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,IntendedModulePartDesc,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,FramingBuildPart,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,FramingBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,FramingBuildDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,JboxBuildPart,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,JboxBuildDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,FlashtestClassifiedDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,FinalModulePartNo,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,FinalModulePartDesc,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,ActualPower,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,ActualVocMod,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,ActualFF,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,PackedDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,InventoryState,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,JboxBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,ActualIsc,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,FlashtestBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,Komax1,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,Komax2,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,Komax3,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,GlassID,int,4,10,0,1,0
dbo,_SPML_ModuleInfo,CellType,nvarchar,100,0,0,1,1
dbo,_SPML_ModuleInfo,StringerOperator,nvarchar,100,0,0,1,1
dbo,_SPML_ModuleInfo,CircuitOperator1,nvarchar,100,0,0,1,1
dbo,_SPML_ModuleInfo,CircuitOperator2,nvarchar,100,0,0,1,1
dbo,_SPML_ModuleInfo,TrimChangeReason,nvarchar,4000,0,0,1,1
dbo,_SPML_ModuleInfo,PowerChartGenerated,tinyint,1,3,0,0,0
dbo,_SPML_ModuleInfo,LaminateWoId,int,4,10,0,1,0
dbo,_SPML_ModuleInfo,ModuleWoId,int,4,10,0,1,0
dbo,_SPML_ModuleInfo,VisualStateId,smallint,2,5,0,1,0
dbo,_SPML_ModuleInfo,RfInvStateId,smallint,2,5,0,1,0
dbo,_SPML_ModuleInfo,ElTestDate,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,ElBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,ActualVmpMod,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,ActualImpMod,float,8,53,0,1,0
dbo,_SPML_ModuleInfo,TrimBuildMachine,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,TrimBuildDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,CellThickness,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,PalletID,bigint,8,19,0,1,0
dbo,_SPML_ModuleInfo,FlashTestID,int,4,10,0,1,0
dbo,_SPML_ModuleInfo,PadLock,uniqueidentifier,16,0,0,1,0
dbo,_SPML_ModuleInfo,BtoCtoSerialNo,nvarchar,508,0,0,1,1
dbo,_SPML_ModuleInfo,EvaUseByDT,datetime,8,23,3,1,0
dbo,_SPML_ModuleInfo,IsBtoCto,tinyint,1,3,0,1,0
dbo,_SPML_ModuleInfo,IntendedModuleWOID,int,4,10,0,1,0
dbo,AcqCtxVarClass,AcqCtxVarClassID,int,4,10,0,0,0
dbo,AcqCtxVarClass,AcquisitionContextID,int,4,10,0,0,0
dbo,AcqCtxVarClass,VariableTypeClassID,tinyint,1,3,0,0,0
dbo,AcqCtxVarClass,IsOS,tinyint,1,3,0,0,0
dbo,AcqCtxVarClass,IsOC,tinyint,1,3,0,0,0
dbo,Acquisition,AcquisitionID,smallint,2,5,0,0,0
dbo,Acquisition,Acquisition,nvarchar,508,0,0,0,1
dbo,Acquisition,AcquisitionCode,nvarchar,100,0,0,1,1
dbo,Acquisition,Description,nvarchar,508,0,0,1,1
dbo,AcquisitionAttributeType,AcquisitionAttributeTypeID,int,4,10,0,0,0
dbo,AcquisitionAttributeType,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AcquisitionAttributeType,AttributeTypeID,smallint,2,5,0,0,0
dbo,AcquisitionAttributeType,EntryOrder,smallint,2,5,0,0,0
dbo,AcquisitionAttributeType,Formula,nvarchar,2000,0,0,1,1
dbo,AcquisitionAttributeType,IsExplicitStep,tinyint,1,3,0,0,0
dbo,AcquisitionChain,AcquisitionChainID,smallint,2,5,0,0,0
dbo,AcquisitionChain,AcquisitionChain,nvarchar,508,0,0,0,1
dbo,AcquisitionChain,Description,nvarchar,508,0,0,1,1
dbo,AcquisitionContext,MachineStageID,smallint,2,5,0,0,0
dbo,AcquisitionContext,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AcquisitionContext,LastMeasurementSetID,int,4,10,0,1,0
dbo,AcquisitionContext,AcquisitionContextID,int,4,10,0,0,0
dbo,AcquisitionContext,LastDoneDT,datetime,8,23,3,1,0
dbo,AcquisitionContext,IsAttrOC,tinyint,1,3,0,0,0
dbo,AcquisitionContext,IsCriticalDefect,tinyint,1,3,0,0,0
dbo,AcquisitionDevice,AcquisitionDeviceID,int,4,10,0,0,0
dbo,AcquisitionDevice,AcquisitionVariableTypeID,int,4,10,0,0,0
dbo,AcquisitionDevice,WorkstationConfigID,smallint,2,5,0,0,0
